Number_Plate,Vehicle_Type,Part_Name,Category,Supplier,Purchase_Cost,Service_Date,Issue_Reported
KDG 396N,Tractor,Hydraulic Pump,Hydraulics,AutoPro Ltd,3570.31,2025-05-24,Oil leak
KDG 396N,Tractor,Alternator,Electrical,AutoPro Ltd,10534.93,2024-08-24,Hydraulic issue
KDG 396N,Tractor,Fuel Pump,Fuel System,Goodyear,13458.52,2024-08-19,Hydraulic issue
KDG 396N,Tractor,Radiator,Cooling System,TurboTraders,5565.47,2024-10-22,Tyre worn out
KDG 396N,Tractor,Oil Filter,Engine,MechWorks,5828.22,2025-02-10,Tyre worn out
KDG 396N,Tractor,Spark Plug,Ignition,Gallant,7260.73,2025-01-09,Overheating
KBZ 137N,Tractor,Air Filter,Air Intake,Gallant,14928.22,2025-04-14,Hydraulic issue
KBZ 137N,Tractor,Battery,Electrical,PartsPlus,5578.62,2025-04-22,Tyre worn out
KBZ 137N,Tractor,Tyre,Wheels,Aeolus,14283.99,2024-07-07,Electrical fault
KBZ 137N,Tractor,Fuel Pump,Fuel System,DieselParts,3272.43,2025-04-16,Brake failure
KBZ 137N,Tractor,Fuel Pump,Fuel System,Aeolus,8501.27,2025-04-07,Routine service
KBZ 137N,Tractor,Spark Plug,Ignition,Goodyear,5236.27,2025-05-30,Oil leak
KBZ 137N,Tractor,Oil Filter,Engine,BKT,5428.36,2025-02-25,Electrical fault
KBZ 137N,Tractor,Radiator,Cooling System,DieselParts,3998.81,2024-11-11,Low power
KDL 966H,Tractor,Oil Filter,Engine,DieselParts,10657.85,2025-06-04,Low power
KDL 966H,Tractor,Tyre,Wheels,Aeolus,2097.23,2025-02-14,Routine service
KDL 966H,Tractor,Spark Plug,Ignition,Gallant,5981.5,2025-04-26,Routine service
KDL 966H,Tractor,Oil Filter,Engine,SpareHub,5345.35,2025-01-12,Oil leak
KDL 966H,Tractor,Brake Pads,Braking System,FarmEquip Co,14267.32,2025-04-06,Overheating
KDL 966H,Tractor,Tyre,Wheels,Aeolus,13226.14,2025-03-05,Routine service
KDL 966H,Tractor,Alternator,Electrical,DieselParts,13295.21,2025-03-17,Electrical fault
KBZ 577Y,Tractor,Fuel Pump,Fuel System,Goodyear,10660.64,2025-06-16,Brake failure
KBZ 577Y,Tractor,Battery,Electrical,TechFix,12776.54,2025-01-09,Tyre worn out
KBZ 577Y,Tractor,Tyre,Wheels,BKT,14722.68,2024-11-14,Low power
KBZ 577Y,Tractor,Alternator,Electrical,PowerAuto,14874.97,2024-07-02,Electrical fault
KBZ 577Y,Tractor,Radiator,Cooling System,TurboTraders,6034.4,2024-11-04,Battery issue
KBX 729E,Tractor,Brake Pads,Braking System,TurboTraders,11944.13,2025-06-07,Low power
KBX 729E,Tractor,Alternator,Electrical,AutoPro Ltd,3242.04,2025-06-02,Hydraulic issue
KBX 729E,Tractor,Brake Pads,Braking System,Gallant,4458.33,2025-05-04,Hydraulic issue
KBX 729E,Tractor,Fuel Pump,Fuel System,JKT,2675.18,2024-11-14,Hydraulic issue
KBX 729E,Tractor,Battery,Electrical,JKT,9039.78,2024-11-17,Tyre worn out
KBX 729E,Tractor,Oil Filter,Engine,TurboTraders,2715.88,2024-12-21,Hydraulic issue
KBX 729E,Tractor,Tyre,Wheels,BKT,10638.2,2024-10-23,Hydraulic issue
KBX 729E,Tractor,Radiator,Cooling System,Gallant,13948.28,2024-09-06,Battery issue
KBX 451H,Tractor,Oil Filter,Engine,MechWorks,8741.2,2024-11-22,Hydraulic issue
KBX 451H,Tractor,Hydraulic Pump,Hydraulics,AutoPro Ltd,2977.94,2024-08-18,Routine service
KBX 451H,Tractor,Battery,Electrical,SpareHub,10555.76,2024-09-08,Engine noise
KBX 451H,Tractor,Oil Filter,Engine,DieselParts,10360.49,2025-03-28,Battery issue
KBX 451H,Tractor,Spark Plug,Ignition,HeavyDuty Supplies,1691.05,2024-12-09,Overheating
KBX 451H,Tractor,Battery,Electrical,PowerAuto,8082.34,2025-02-25,Engine noise
KDM 903X,Tractor,Radiator,Cooling System,SpareHub,10556.84,2024-09-03,Brake failure
KDM 903X,Tractor,Oil Filter,Engine,AutoPro Ltd,10060.11,2025-03-28,Low power
KDM 903X,Tractor,Alternator,Electrical,MechWorks,4385.73,2024-07-29,Hydraulic issue
KDM 903X,Tractor,Brake Pads,Braking System,JKT,7887.62,2024-10-21,Routine service
KDM 903X,Tractor,Battery,Electrical,AutoPro Ltd,3636.5,2024-07-03,Low power
KDM 903X,Tractor,Oil Filter,Engine,JKT,1679.49,2025-02-16,Tyre worn out
KDM 903X,Tractor,Spark Plug,Ignition,AutoPro Ltd,12433.58,2024-11-09,Engine noise
KDM 903X,Tractor,Tyre,Wheels,Gallant,1564.89,2025-02-08,Engine noise
KDG 394M,Tractor,Oil Filter,Engine,MechWorks,3111.44,2024-08-03,Battery issue
KDG 394M,Tractor,Hydraulic Pump,Hydraulics,Goodyear,2508.89,2024-12-31,Overheating
KDG 394M,Tractor,Battery,Electrical,DieselParts,12032.33,2025-03-24,Overheating
KDG 394M,Tractor,Brake Pads,Braking System,TechFix,5662.93,2025-04-08,Hydraulic issue
KDG 394M,Tractor,Fuel Pump,Fuel System,Aeolus,5141.78,2025-04-28,Hydraulic issue
KDG 394M,Tractor,Battery,Electrical,TurboTraders,6479.2,2025-04-29,Routine service
KDG 394M,Tractor,Brake Pads,Braking System,HeavyDuty Supplies,11775.15,2025-01-06,Brake failure
KDM 989A,Tractor,Battery,Electrical,TurboTraders,6971.41,2024-08-16,Battery issue
KDM 989A,Tractor,Battery,Electrical,MechWorks,12226.31,2025-01-05,Brake failure
KDM 989A,Tractor,Spark Plug,Ignition,SpareHub,2066.94,2025-01-14,Overheating
KDM 989A,Tractor,Brake Pads,Braking System,Goodyear,14268.75,2024-09-26,Routine service
KDM 989A,Tractor,Battery,Electrical,TechFix,7233.81,2024-10-29,Low power
KDM 989A,Tractor,Spark Plug,Ignition,AutoPro Ltd,3945.45,2024-10-03,Engine noise
KBZ 747L,Tractor,Spark Plug,Ignition,PartsPlus,5356.84,2024-07-27,Tyre worn out
KBZ 747L,Tractor,Battery,Electrical,TechFix,13294.41,2025-01-17,Hydraulic issue
KBZ 747L,Tractor,Brake Pads,Braking System,PartsPlus,9084.84,2025-05-20,Routine service
KBZ 747L,Tractor,Spark Plug,Ignition,MechWorks,8032.71,2025-01-15,Engine noise
KDM 311T,Tractor,Battery,Electrical,TechFix,9620.1,2025-05-10,Routine service
KDM 311T,Tractor,Brake Pads,Braking System,PartsPlus,12459.45,2024-10-31,Tyre worn out
KDM 311T,Tractor,Oil Filter,Engine,PartsPlus,14157.7,2024-08-10,Low power
KDM 311T,Tractor,Radiator,Cooling System,MechWorks,9640.15,2025-03-25,Battery issue
KDM 311T,Tractor,Oil Filter,Engine,TurboTraders,4962.26,2025-05-14,Overheating
KDM 311T,Tractor,Oil Filter,Engine,HeavyDuty Supplies,9019.9,2024-10-15,Overheating
KBX 814D,Tractor,Fuel Pump,Fuel System,MechWorks,3596.28,2024-07-27,Low power
KBX 814D,Tractor,Air Filter,Air Intake,Aeolus,12883.33,2024-12-06,Engine noise
KBX 814D,Tractor,Hydraulic Pump,Hydraulics,BKT,13425.11,2024-07-18,Engine noise
KBX 814D,Tractor,Alternator,Electrical,TechFix,1788.3,2024-07-07,Brake failure
KBX 814D,Tractor,Battery,Electrical,TechFix,2632.97,2024-08-25,Low power
KDJ 712L,Tractor,Hydraulic Pump,Hydraulics,PowerAuto,3031.98,2024-10-25,Routine service
KDJ 712L,Tractor,Fuel Pump,Fuel System,MechWorks,5478.0,2025-01-23,Battery issue
KDJ 712L,Tractor,Radiator,Cooling System,MechWorks,7443.18,2025-04-08,Tyre worn out
KDJ 712L,Tractor,Hydraulic Pump,Hydraulics,SpareHub,12253.52,2024-11-30,Tyre worn out
KDJ 712L,Tractor,Alternator,Electrical,TechFix,13645.87,2024-08-09,Low power
KBZ 226M,Tractor,Air Filter,Air Intake,PartsPlus,13229.52,2024-10-20,Oil leak
KBZ 226M,Tractor,Hydraulic Pump,Hydraulics,JKT,8400.69,2024-06-24,Electrical fault
KBZ 226M,Tractor,Hydraulic Pump,Hydraulics,Goodyear,9587.33,2025-04-13,Brake failure
KBZ 226M,Tractor,Oil Filter,Engine,TurboTraders,14603.52,2024-09-07,Electrical fault
KBZ 226M,Tractor,Hydraulic Pump,Hydraulics,JKT,7234.48,2025-01-26,Oil leak
KBZ 226M,Tractor,Spark Plug,Ignition,Goodyear,8668.22,2025-04-23,Battery issue
KBZ 226M,Tractor,Air Filter,Air Intake,PartsPlus,13533.48,2025-03-03,Hydraulic issue
KCH 552G,Tractor,Spark Plug,Ignition,JKT,11013.28,2025-02-05,Oil leak
KCH 552G,Tractor,Oil Filter,Engine,FarmEquip Co,1984.9,2025-04-19,Electrical fault
KCH 552G,Tractor,Spark Plug,Ignition,PowerAuto,14672.63,2025-06-04,Engine noise
KCH 552G,Tractor,Alternator,Electrical,FarmEquip Co,13722.64,2025-04-07,Battery issue
KCH 552G,Tractor,Oil Filter,Engine,SpareHub,6455.42,2025-01-25,Engine noise
KCH 552G,Tractor,Alternator,Electrical,PowerAuto,10633.5,2024-10-04,Electrical fault
KCH 552G,Tractor,Fuel Pump,Fuel System,Goodyear,10389.44,2025-02-17,Brake failure
KCH 552G,Tractor,Tyre,Wheels,JKT,1555.19,2025-05-03,Overheating
KBZ 714C,Tractor,Hydraulic Pump,Hydraulics,TechFix,1958.11,2024-10-02,Brake failure
KBZ 714C,Tractor,Brake Pads,Braking System,AutoPro Ltd,8813.35,2024-07-15,Oil leak
KBZ 714C,Tractor,Oil Filter,Engine,TurboTraders,13044.79,2025-04-30,Engine noise
KBZ 714C,Tractor,Alternator,Electrical,FarmEquip Co,13497.76,2024-07-29,Overheating
KBZ 714C,Tractor,Radiator,Cooling System,PartsPlus,9872.52,2025-05-12,Engine noise
KBZ 714C,Tractor,Brake Pads,Braking System,HeavyDuty Supplies,11457.67,2025-03-10,Oil leak
KBZ 714C,Tractor,Brake Pads,Braking System,AutoPro Ltd,5917.63,2024-09-10,Low power
KBZ 714C,Tractor,Air Filter,Air Intake,Goodyear,6372.17,2024-08-06,Low power
KDJ 461K,Tractor,Air Filter,Air Intake,TechFix,14086.11,2024-11-01,Electrical fault
KDJ 461K,Tractor,Brake Pads,Braking System,PartsPlus,8593.42,2025-06-07,Tyre worn out
KDJ 461K,Tractor,Alternator,Electrical,BKT,9222.46,2024-10-29,Hydraulic issue
KDJ 461K,Tractor,Brake Pads,Braking System,TechFix,10973.65,2025-06-09,Electrical fault
KDJ 461K,Tractor,Alternator,Electrical,TurboTraders,5978.05,2024-11-04,Brake failure
KDJ 461K,Tractor,Hydraulic Pump,Hydraulics,FarmEquip Co,4834.06,2025-06-12,Brake failure
KDJ 461K,Tractor,Fuel Pump,Fuel System,AutoPro Ltd,12981.18,2025-02-01,Battery issue
KBN 761V,Tractor,Alternator,Electrical,MechWorks,11903.11,2025-02-02,Electrical fault
KBN 761V,Tractor,Brake Pads,Braking System,MechWorks,4673.55,2024-07-30,Routine service
KBN 761V,Tractor,Tyre,Wheels,JKT,3575.2,2025-05-03,Oil leak
KBN 761V,Tractor,Spark Plug,Ignition,Aeolus,10342.01,2025-03-07,Battery issue
KBN 761V,Tractor,Tyre,Wheels,JKT,5884.73,2025-03-22,Electrical fault
KBN 761V,Tractor,Spark Plug,Ignition,PartsPlus,6488.63,2024-10-15,Engine noise
KBN 761V,Tractor,Radiator,Cooling System,TurboTraders,5548.71,2024-11-12,Overheating
KBN 761V,Tractor,Battery,Electrical,AutoPro Ltd,2186.54,2025-06-10,Overheating
KDL 481C,Tractor,Radiator,Cooling System,JKT,2462.16,2025-05-03,Battery issue
KDL 481C,Tractor,Alternator,Electrical,FarmEquip Co,5103.92,2024-11-13,Tyre worn out
KDL 481C,Tractor,Radiator,Cooling System,TechFix,13953.45,2024-09-30,Oil leak
KDL 481C,Tractor,Brake Pads,Braking System,PowerAuto,13480.62,2024-12-25,Hydraulic issue
KDL 481C,Tractor,Hydraulic Pump,Hydraulics,Gallant,12752.5,2024-12-20,Low power
KDL 481C,Tractor,Spark Plug,Ignition,Goodyear,10019.21,2024-12-07,Oil leak
KBX 419E,Tractor,Fuel Pump,Fuel System,Gallant,2819.08,2024-10-14,Tyre worn out
KBX 419E,Tractor,Tyre,Wheels,Gallant,13911.44,2024-09-05,Tyre worn out
KBX 419E,Tractor,Alternator,Electrical,TechFix,2456.15,2025-06-07,Electrical fault
KBX 419E,Tractor,Brake Pads,Braking System,Aeolus,14499.01,2025-01-21,Overheating
KBX 419E,Tractor,Battery,Electrical,PartsPlus,13087.8,2024-08-15,Overheating
KBX 419E,Tractor,Oil Filter,Engine,HeavyDuty Supplies,2646.02,2025-02-07,Overheating
KDA 252R,Tractor,Oil Filter,Engine,HeavyDuty Supplies,14502.47,2024-12-30,Battery issue
KDA 252R,Tractor,Battery,Electrical,FarmEquip Co,9751.0,2024-09-03,Routine service
KDA 252R,Tractor,Radiator,Cooling System,TurboTraders,3101.99,2024-08-31,Engine noise
KDA 252R,Tractor,Battery,Electrical,SpareHub,6855.14,2025-03-22,Hydraulic issue
KDL 388V,Tractor,Tyre,Wheels,JKT,13698.05,2024-08-09,Oil leak
KDL 388V,Tractor,Oil Filter,Engine,PartsPlus,14875.57,2024-09-03,Brake failure
KDL 388V,Tractor,Hydraulic Pump,Hydraulics,PartsPlus,10748.67,2025-05-03,Battery issue
KDL 388V,Tractor,Radiator,Cooling System,AutoPro Ltd,3402.19,2025-06-06,Overheating
KDM 492P,Tractor,Tyre,Wheels,BKT,2805.38,2024-06-26,Electrical fault
KDM 492P,Tractor,Battery,Electrical,BKT,2295.49,2024-10-25,Low power
KDM 492P,Tractor,Alternator,Electrical,BKT,12668.22,2025-02-16,Brake failure
KDM 492P,Tractor,Oil Filter,Engine,FarmEquip Co,1556.98,2024-10-13,Routine service
KDM 492P,Tractor,Fuel Pump,Fuel System,PartsPlus,8151.29,2025-04-09,Battery issue
KDM 492P,Tractor,Brake Pads,Braking System,SpareHub,14140.25,2025-01-28,Electrical fault
KDM 492P,Tractor,Oil Filter,Engine,AutoPro Ltd,8662.81,2025-05-21,Brake failure
KDM 492P,Tractor,Alternator,Electrical,TechFix,8029.3,2025-03-07,Electrical fault
KDA 505U,Tractor,Tyre,Wheels,Aeolus,11718.75,2024-09-27,Brake failure
KDA 505U,Tractor,Battery,Electrical,HeavyDuty Supplies,3903.55,2024-09-20,Oil leak
KDA 505U,Tractor,Hydraulic Pump,Hydraulics,MechWorks,6358.03,2025-05-29,Hydraulic issue
KDA 505U,Tractor,Air Filter,Air Intake,AutoPro Ltd,9539.68,2024-10-16,Routine service
KCN 331M,Tractor,Radiator,Cooling System,PartsPlus,4583.39,2024-09-05,Engine noise
KCN 331M,Tractor,Brake Pads,Braking System,MechWorks,9554.91,2025-05-21,Battery issue
KCN 331M,Tractor,Battery,Electrical,MechWorks,11951.44,2025-04-24,Brake failure
KCN 331M,Tractor,Alternator,Electrical,AutoPro Ltd,2430.05,2025-02-22,Electrical fault
KCN 331M,Tractor,Hydraulic Pump,Hydraulics,DieselParts,13864.02,2025-05-03,Electrical fault
KBU 430S,Tractor,Hydraulic Pump,Hydraulics,Aeolus,5625.77,2024-12-29,Overheating
KBU 430S,Tractor,Brake Pads,Braking System,TechFix,10766.52,2024-11-24,Electrical fault
KBU 430S,Tractor,Fuel Pump,Fuel System,HeavyDuty Supplies,12402.2,2025-02-08,Overheating
KBU 430S,Tractor,Tyre,Wheels,BKT,1620.91,2025-06-14,Oil leak
KDM 473L,Tractor,Tyre,Wheels,JKT,14361.04,2024-11-29,Brake failure
KDM 473L,Tractor,Fuel Pump,Fuel System,MechWorks,3047.73,2025-01-12,Routine service
KDM 473L,Tractor,Oil Filter,Engine,PowerAuto,14719.68,2024-07-27,Battery issue
KDM 473L,Tractor,Alternator,Electrical,PartsPlus,14665.57,2025-01-25,Electrical fault
KDM 473L,Tractor,Alternator,Electrical,Aeolus,8121.48,2025-05-27,Hydraulic issue
KDM 473L,Tractor,Fuel Pump,Fuel System,PowerAuto,5810.53,2024-07-09,Routine service
KDM 473L,Tractor,Brake Pads,Braking System,SpareHub,9829.63,2025-02-02,Overheating
KDM 473L,Tractor,Air Filter,Air Intake,JKT,3688.11,2025-02-21,Routine service
KCH 298D,Tractor,Alternator,Electrical,PartsPlus,13649.97,2024-06-25,Overheating
KCH 298D,Tractor,Air Filter,Air Intake,PartsPlus,7303.78,2024-09-03,Low power
KCH 298D,Tractor,Spark Plug,Ignition,TechFix,8659.6,2025-04-12,Brake failure
KCH 298D,Tractor,Alternator,Electrical,Goodyear,6878.08,2024-12-04,Hydraulic issue
KCH 298D,Tractor,Brake Pads,Braking System,FarmEquip Co,2362.07,2024-11-24,Hydraulic issue
KCH 298D,Tractor,Fuel Pump,Fuel System,JKT,4592.59,2025-04-07,Routine service
KCH 298D,Tractor,Fuel Pump,Fuel System,TechFix,13306.74,2024-09-20,Overheating
KCH 298D,Tractor,Air Filter,Air Intake,Goodyear,6423.63,2024-10-26,Battery issue
KDA 138Y,Tractor,Hydraulic Pump,Hydraulics,PartsPlus,3959.9,2024-10-20,Tyre worn out
KDA 138Y,Tractor,Brake Pads,Braking System,PowerAuto,7541.15,2024-12-29,Electrical fault
KDA 138Y,Tractor,Hydraulic Pump,Hydraulics,JKT,6296.27,2025-04-27,Electrical fault
KDA 138Y,Tractor,Hydraulic Pump,Hydraulics,DieselParts,12107.91,2024-08-07,Tyre worn out
KDA 138Y,Tractor,Radiator,Cooling System,Goodyear,12051.13,2024-12-19,Low power
KDA 138Y,Tractor,Radiator,Cooling System,Aeolus,11386.23,2024-08-30,Oil leak
KDA 138Y,Tractor,Battery,Electrical,MechWorks,10671.37,2024-12-05,Battery issue
KBN 824X,Tractor,Alternator,Electrical,Aeolus,13453.9,2024-11-16,Oil leak
KBN 824X,Tractor,Oil Filter,Engine,Aeolus,9474.72,2024-08-23,Brake failure
KBN 824X,Tractor,Alternator,Electrical,BKT,10255.93,2025-02-28,Engine noise
KBN 824X,Tractor,Brake Pads,Braking System,Goodyear,12553.72,2025-02-03,Oil leak
KBN 824X,Tractor,Fuel Pump,Fuel System,AutoPro Ltd,9756.13,2025-06-07,Overheating
KBN 824X,Tractor,Alternator,Electrical,BKT,14097.32,2024-08-21,Electrical fault
KBN 824X,Tractor,Fuel Pump,Fuel System,MechWorks,5929.18,2024-10-24,Brake failure
KBN 824X,Tractor,Hydraulic Pump,Hydraulics,TechFix,7111.47,2025-05-12,Battery issue
KBU 469M,Tractor,Battery,Electrical,PowerAuto,8883.5,2025-05-25,Overheating
KBU 469M,Tractor,Brake Pads,Braking System,Gallant,9604.69,2024-06-27,Hydraulic issue
KBU 469M,Tractor,Brake Pads,Braking System,FarmEquip Co,8794.73,2024-07-07,Tyre worn out
KBU 469M,Tractor,Spark Plug,Ignition,TechFix,1663.17,2024-07-18,Brake failure
KBU 469M,Tractor,Radiator,Cooling System,PartsPlus,7211.39,2025-02-17,Hydraulic issue
KBU 469M,Tractor,Radiator,Cooling System,Aeolus,9722.64,2025-05-16,Battery issue
KDM 223Z,Tractor,Alternator,Electrical,BKT,2321.61,2024-12-15,Oil leak
KDM 223Z,Tractor,Alternator,Electrical,DieselParts,12104.66,2024-09-18,Battery issue
KDM 223Z,Tractor,Battery,Electrical,SpareHub,6961.48,2024-07-18,Routine service
KDM 223Z,Tractor,Alternator,Electrical,TurboTraders,7042.98,2025-05-21,Battery issue
KDM 223Z,Tractor,Battery,Electrical,PowerAuto,10151.09,2024-09-14,Hydraulic issue
KDA 470B,Tractor,Battery,Electrical,BKT,9196.25,2024-09-14,Oil leak
KDA 470B,Tractor,Spark Plug,Ignition,SpareHub,7623.54,2025-02-27,Overheating
KDA 470B,Tractor,Oil Filter,Engine,TechFix,11508.19,2024-12-13,Tyre worn out
KDA 470B,Tractor,Tyre,Wheels,Gallant,11877.42,2025-02-08,Low power
KDA 470B,Tractor,Hydraulic Pump,Hydraulics,PartsPlus,12026.3,2025-04-05,Hydraulic issue
KDA 470B,Tractor,Hydraulic Pump,Hydraulics,JKT,2744.72,2024-10-30,Oil leak
KDA 470B,Tractor,Oil Filter,Engine,Gallant,1751.5,2024-10-04,Hydraulic issue
KDA 470B,Tractor,Battery,Electrical,AutoPro Ltd,3438.02,2025-03-09,Overheating
KDL 861M,Tractor,Spark Plug,Ignition,TurboTraders,10863.22,2024-09-19,Low power
KDL 861M,Tractor,Brake Pads,Braking System,TechFix,4657.31,2025-05-02,Tyre worn out
KDL 861M,Tractor,Alternator,Electrical,SpareHub,3135.94,2024-12-19,Electrical fault
KDL 861M,Tractor,Hydraulic Pump,Hydraulics,PartsPlus,7900.39,2024-11-17,Hydraulic issue
KDL 861M,Tractor,Hydraulic Pump,Hydraulics,JKT,14154.65,2024-10-15,Hydraulic issue
KDL 861M,Tractor,Oil Filter,Engine,Goodyear,2283.77,2024-10-13,Tyre worn out
KDL 861M,Tractor,Radiator,Cooling System,BKT,14080.53,2024-08-02,Oil leak
KDL 861M,Tractor,Spark Plug,Ignition,MechWorks,4059.31,2024-07-05,Low power
KBN 935A,Tractor,Battery,Electrical,SpareHub,9194.2,2024-10-12,Engine noise
KBN 935A,Tractor,Oil Filter,Engine,AutoPro Ltd,13587.54,2024-12-25,Engine noise
KBN 935A,Tractor,Brake Pads,Braking System,Goodyear,6315.81,2024-12-24,Engine noise
KBN 935A,Tractor,Alternator,Electrical,Gallant,2785.62,2024-11-17,Brake failure
KBN 935A,Tractor,Spark Plug,Ignition,DieselParts,3462.39,2025-03-16,Tyre worn out
KBN 192P,Tractor,Brake Pads,Braking System,TurboTraders,7972.62,2024-08-20,Routine service
KBN 192P,Tractor,Air Filter,Air Intake,SpareHub,3030.98,2024-10-22,Battery issue
KBN 192P,Tractor,Fuel Pump,Fuel System,TurboTraders,14391.54,2024-12-02,Tyre worn out
KBN 192P,Tractor,Alternator,Electrical,AutoPro Ltd,7528.35,2024-09-12,Electrical fault
KDG 560G,Tractor,Radiator,Cooling System,DieselParts,14149.28,2025-04-11,Brake failure
KDG 560G,Tractor,Tyre,Wheels,JKT,6392.09,2024-09-13,Battery issue
KDG 560G,Tractor,Spark Plug,Ignition,PartsPlus,12385.62,2024-08-07,Electrical fault
KDG 560G,Tractor,Fuel Pump,Fuel System,SpareHub,6128.52,2025-02-24,Oil leak
KDG 560G,Tractor,Spark Plug,Ignition,TurboTraders,4437.17,2024-08-29,Battery issue
KDG 560G,Tractor,Air Filter,Air Intake,Aeolus,7623.6,2025-03-01,Hydraulic issue
KDG 560G,Tractor,Fuel Pump,Fuel System,AutoPro Ltd,8254.91,2024-12-14,Battery issue
KDG 560G,Tractor,Brake Pads,Braking System,Goodyear,4983.87,2024-07-04,Electrical fault
KBZ 857X,Tractor,Hydraulic Pump,Hydraulics,SpareHub,13177.84,2025-01-16,Low power
KBZ 857X,Tractor,Battery,Electrical,MechWorks,10945.24,2025-06-09,Engine noise
KBZ 857X,Tractor,Air Filter,Air Intake,BKT,8882.09,2024-10-08,Brake failure
KBZ 857X,Tractor,Alternator,Electrical,PartsPlus,3285.16,2025-04-08,Low power
KBZ 857X,Tractor,Radiator,Cooling System,MechWorks,7503.64,2024-06-24,Tyre worn out
KCH 188X,Tractor,Radiator,Cooling System,BKT,10214.21,2025-03-22,Hydraulic issue
KCH 188X,Tractor,Radiator,Cooling System,MechWorks,11576.32,2024-12-27,Low power
KCH 188X,Tractor,Oil Filter,Engine,MechWorks,1736.43,2024-07-11,Electrical fault
KCH 188X,Tractor,Spark Plug,Ignition,Gallant,2674.12,2025-02-18,Brake failure
KCH 188X,Tractor,Oil Filter,Engine,JKT,14395.03,2024-08-24,Overheating
KCH 188X,Tractor,Brake Pads,Braking System,FarmEquip Co,8710.6,2024-08-26,Tyre worn out
KDG 906M,Tractor,Fuel Pump,Fuel System,FarmEquip Co,11945.62,2024-12-12,Oil leak
KDG 906M,Tractor,Alternator,Electrical,Goodyear,12944.08,2024-06-21,Electrical fault
KDG 906M,Tractor,Brake Pads,Braking System,TechFix,7288.3,2024-11-06,Overheating
KDG 906M,Tractor,Fuel Pump,Fuel System,PowerAuto,8857.94,2025-02-06,Engine noise
KDG 906M,Tractor,Air Filter,Air Intake,FarmEquip Co,11715.53,2024-08-08,Oil leak
KDG 906M,Tractor,Air Filter,Air Intake,FarmEquip Co,7857.06,2025-06-09,Overheating
KDG 906M,Tractor,Radiator,Cooling System,PowerAuto,8854.26,2025-05-23,Low power
KDA 679B,Tractor,Alternator,Electrical,DieselParts,3736.4,2024-12-31,Electrical fault
KDA 679B,Tractor,Air Filter,Air Intake,DieselParts,9292.64,2025-05-30,Battery issue
KDA 679B,Tractor,Alternator,Electrical,TechFix,1811.2,2024-08-01,Electrical fault
KDA 679B,Tractor,Fuel Pump,Fuel System,PowerAuto,9963.02,2024-11-01,Tyre worn out
KDA 679B,Tractor,Battery,Electrical,Gallant,14097.42,2025-05-31,Electrical fault
KDA 679B,Tractor,Spark Plug,Ignition,MechWorks,12976.7,2025-01-01,Brake failure
KDA 679B,Tractor,Alternator,Electrical,FarmEquip Co,3442.82,2024-10-23,Routine service
KDA 679B,Tractor,Fuel Pump,Fuel System,BKT,4015.64,2024-07-31,Overheating
KDA 487U,Tractor,Tyre,Wheels,Gallant,13262.3,2024-10-16,Routine service
KDA 487U,Tractor,Oil Filter,Engine,BKT,14125.0,2025-03-17,Oil leak
KDA 487U,Tractor,Battery,Electrical,PowerAuto,8239.47,2024-12-09,Low power
KDA 487U,Tractor,Radiator,Cooling System,AutoPro Ltd,7472.91,2024-11-06,Tyre worn out
KDA 487U,Tractor,Radiator,Cooling System,JKT,5720.66,2024-06-19,Battery issue
KBX 994Y,Tractor,Air Filter,Air Intake,FarmEquip Co,1577.7,2025-06-16,Oil leak
KBX 994Y,Tractor,Brake Pads,Braking System,BKT,12909.98,2024-08-17,Engine noise
KBX 994Y,Tractor,Fuel Pump,Fuel System,JKT,8007.44,2024-07-15,Overheating
KBX 994Y,Tractor,Oil Filter,Engine,TurboTraders,5205.15,2024-08-30,Tyre worn out
KDA 285D,Tractor,Hydraulic Pump,Hydraulics,PowerAuto,7497.37,2024-08-16,Low power
KDA 285D,Tractor,Tyre,Wheels,Aeolus,11454.45,2024-09-19,Engine noise
KDA 285D,Tractor,Radiator,Cooling System,TechFix,14130.37,2024-10-24,Overheating
KDA 285D,Tractor,Alternator,Electrical,HeavyDuty Supplies,5122.88,2025-01-17,Electrical fault
KCN 651W,Tractor,Brake Pads,Braking System,DieselParts,2194.91,2024-08-01,Low power
KCN 651W,Tractor,Battery,Electrical,PowerAuto,5956.06,2024-10-27,Oil leak
KCN 651W,Tractor,Hydraulic Pump,Hydraulics,MechWorks,13774.03,2025-06-12,Brake failure
KCN 651W,Tractor,Alternator,Electrical,TechFix,9757.8,2025-05-26,Engine noise
KCN 651W,Tractor,Radiator,Cooling System,JKT,8127.83,2024-06-30,Oil leak
KCN 651W,Tractor,Spark Plug,Ignition,AutoPro Ltd,4953.82,2024-08-08,Oil leak
KCN 651W,Tractor,Spark Plug,Ignition,Aeolus,13695.66,2025-03-24,Engine noise
KCN 651W,Tractor,Brake Pads,Braking System,TechFix,11733.6,2024-09-30,Battery issue
KDA 570P,Tractor,Brake Pads,Braking System,PowerAuto,12384.73,2024-07-20,Hydraulic issue
KDA 570P,Tractor,Oil Filter,Engine,FarmEquip Co,10439.9,2024-09-14,Routine service
KDA 570P,Tractor,Radiator,Cooling System,BKT,6700.12,2025-02-25,Low power
KDA 570P,Tractor,Battery,Electrical,Aeolus,8024.27,2025-03-07,Routine service
